fecha,cod,prov,lng,lat,paro
2020-1,40,Segovia,-4.055,41.171,6972
2020-1,05,Ávila,-4.946,40.571,11251
2020-1,09,Burgos,-3.586,42.367,18993
2020-1,42,Soria,-2.589,41.621,3749
2020-1,47,Valladolid,-4.847,41.634,29749
2020-1,07,Castilla León,-4.397,41.835,143905
2019-12,05,Ávila,-4.946,40.571,11264
2019-12,09,Burgos,-3.586,42.367,18416
2019-12,34,Palencia,-4.535,42.37,9008
2019-12,42,Soria,-2.589,41.621,3671
2019-12,47,Valladolid,-4.847,41.634,29123
2019-12,49,Zamora,-5.979,41.727,11007
2019-12,07,Castilla León,-4.397,41.835,139874
2019-12,40,Segovia,-4.055,41.171,6720
2019-12,24,León,-5.841,42.62,28583
2019-12,37,Salamanca,-6.066,40.805,22082
2019-11,05,Ávila,-4.946,40.571,11178
2019-11,34,Palencia,-4.535,42.37,8609
2019-11,37,Salamanca,-6.066,40.805,22678
2019-11,49,Zamora,-5.979,41.727,10976
2019-11,40,Segovia,-4.055,41.171,6739
2019-11,42,Soria,-2.589,41.621,3656
2019-11,47,Valladolid,-4.847,41.634,28962
2019-11,07,Castilla León,-4.397,41.835,140973
2019-11,09,Burgos,-3.586,42.367,18909
2019-11,24,León,-5.841,42.62,29266
2019-10,09,Burgos,-3.586,42.367,18590
2019-10,47,Valladolid,-4.847,41.634,29237
2019-10,34,Palencia,-4.535,42.37,8541
2019-10,37,Salamanca,-6.066,40.805,22561
2019-10,40,Segovia,-4.055,41.171,6506
2019-10,49,Zamora,-5.979,41.727,10979
2019-10,07,Castilla León,-4.397,41.835,139536
2019-10,05,Ávila,-4.946,40.571,10867
2019-10,24,León,-5.841,42.62,28855
2019-10,42,Soria,-2.589,41.621,3400
2019-9,24,León,-5.841,42.62,27590
2019-9,40,Segovia,-4.055,41.171,6063
2019-9,42,Soria,-2.589,41.621,3107
2019-9,37,Salamanca,-6.066,40.805,21822
2019-9,47,Valladolid,-4.847,41.634,28226
2019-9,07,Castilla León,-4.397,41.835,132594
2019-9,05,Ávila,-4.946,40.571,10336
2019-9,09,Burgos,-3.586,42.367,17116
2019-9,34,Palencia,-4.535,42.37,8074
2019-9,49,Zamora,-5.979,41.727,10260
2019-8,09,Burgos,-3.586,42.367,16999
2019-8,24,León,-5.841,42.62,27185
2019-8,34,Palencia,-4.535,42.37,8063
2019-8,49,Zamora,-5.979,41.727,10100
2019-8,05,Ávila,-4.946,40.571,10052
2019-8,37,Salamanca,-6.066,40.805,21234
2019-8,42,Soria,-2.589,41.621,3105
2019-8,47,Valladolid,-4.847,41.634,29244
2019-8,40,Segovia,-4.055,41.171,5985
2019-8,07,Castilla León,-4.397,41.835,131967
2019-7,05,Ávila,-4.946,40.571,9978
2019-7,09,Burgos,-3.586,42.367,16549
2019-7,49,Zamora,-5.979,41.727,10227
2019-7,07,Castilla León,-4.397,41.835,131973
2019-7,37,Salamanca,-6.066,40.805,21014
2019-7,42,Soria,-2.589,41.621,3081
2019-7,24,León,-5.841,42.62,27714
2019-7,34,Palencia,-4.535,42.37,8165
2019-7,40,Segovia,-4.055,41.171,6050
2019-7,47,Valladolid,-4.847,41.634,29195
2019-6,40,Segovia,-4.055,41.171,6229
2019-6,42,Soria,-2.589,41.621,3122
2019-6,49,Zamora,-5.979,41.727,10828
2019-6,34,Palencia,-4.535,42.37,8172
2019-6,47,Valladolid,-4.847,41.634,28659
2019-6,05,Ávila,-4.946,40.571,10286
2019-6,09,Burgos,-3.586,42.367,16622
2019-6,24,León,-5.841,42.62,28263
2019-6,37,Salamanca,-6.066,40.805,21061
2019-6,07,Castilla León,-4.397,41.835,133242
2019-5,09,Burgos,-3.586,42.367,17588
2019-5,40,Segovia,-4.055,41.171,6658
2019-5,47,Valladolid,-4.847,41.634,29873
2019-5,24,León,-5.841,42.62,29583
2019-5,34,Palencia,-4.535,42.37,8627
2019-5,42,Soria,-2.589,41.621,3443
2019-5,07,Castilla León,-4.397,41.835,140411
2019-5,05,Ávila,-4.946,40.571,10933
